None,Cp,time
-105.366E+00,   83.63-105.366E+00,   8,0
3.63-105.366E+00,   83.63-105.366E+0,10
0,   83.63-105.366E+00,   83.63-105.,20
252E+00,   81.57-105.252E+00,   81.57,30

-105.252E+00,   81.57-105.252E+00,   ,40
81.57-105.252E+00,   81.57-105.252E+,50
00,   81.57-105.252E+00,   81.57-105,60
.252E+00,   81.57-105.252E+00,   81.57,70
-105.252E+00,   81.57-105.196E+00,  ,80
 82.75-105.196E+00,   82.75-105.196E,90
+00,   82.75-105.196E+00,   82.75-10,100
5.196E+00,   82.75-105.196E+00,   82.7,110
5-105.196E+00,   82.75-105.196E+00, ,120
  82.75-105.148E+00,   86.45-105.148,130
E+00,   86.45-105.125E+00,   89.06-1,140
05.125E+00,   89.06-105.103E+00,   90.,150
95-105.103E+00,   90.95-105.157E+00,,160
   92.42-105.206E+00,   93.44-105.20,170
6E+00,   93.44-105.266E+00,   95.35-,180
105.304E+00,   93.88-105.304E+00,   93,190
.88-105.348E+00,   91.79-105.348E+00,200
,   91.79-105.359E+00,   90.07-105.3,210
59E+00,   90.07-105.290E+00,   86.14,220
-105.186E+00,   84.43-105.186E+00,   8,230
4.43-105.077E+00,   85.48-105.077E+0,240
0,   85.48-105.015E+00,   89.43,250
-105.015E+00,   89.43,260
-104.961E+00,   94.07,270
-104.944E+00,   97.54,280
-104.944E+00,   97.54,290
-104.960E+00,   98.38,300
-104.960E+00,   98.38,310
-104.956E+00,   99.13,320
-104.956E+00,   99.13,330
-104.930E+00,   96.61,340
-104.930E+00,   96.61,350
-104.923E+00,   95.34,360
-104.966E+00,   93.91,370
-104.966E+00,   93.91,380
-104.985E+00,   93.34,390
-104.985E+00,   93.34,400
-105.032E+00,   93.56,410
-105.062E+00,   92.28,420
-105.062E+00,   92.28,430
-105.049E+00,   93.68,440
-105.049E+00,   93.68,450
-105.078E+00,   95.87,460
-105.078E+00,   95.87,470
-105.104E+00,  102.15,480
-105.104E+00,  102.15,490
-105.198E+00,  107.95,500
-105.301E+00,  111.76,510
-105.301E+00,  111.76,520
-105.407E+00,  107.99,530
-105.407E+00,  107.99,540
-105.449E+00,  103.93,550
-105.495E+00,   95.29,560
-105.495E+00,   95.29,570
-105.482E+00,   87.33,580
-105.482E+00,   87.33,590
-105.427E+00,   82.01,600
-105.370E+00,   78.01,610
-105.370E+00,   78.01,620
-105.258E+00,   77.20,630
-105.258E+00,   77.20,640
-105.145E+00,   79.65,650
-105.145E+00,   79.65,660
-105.070E+00,   82.52,670
-105.053E+00,   88.67,680
-105.053E+00,   88.67,690
-105.055E+00,   99.04,700
-105.055E+00,   99.04,710
-105.116E+00,  106.39,720
-105.116E+00,  106.39,730
-105.196E+00,  115.12,740
-105.303E+00,  116.76,750
-105.303E+00,  116.76,760
-105.374E+00,  114.52,770
-105.374E+00,  114.52,780
-105.417E+00,  107.97,790
-105.460E+00,  100.19,800
-105.460E+00,  100.19,810
-105.472E+00,   92.05,820
-105.472E+00,   92.05,830
-105.396E+00,   86.97,840
-105.396E+00,   86.97,850
-105.314E+00,   82.77,860
-105.225E+00,   79.67,870
-105.225E+00,   79.67,880
-105.156E+00,   82.48,890
-105.156E+00,   82.48,900
-105.109E+00,   86.24,910
-105.107E+00,   91.92,920
-105.107E+00,   91.92,930
-105.159E+00,   98.96,940
-105.159E+00,   98.96,950
-105.223E+00,  104.36,960
-105.223E+00,  104.36,970
-105.319E+00,  107.67,980
-105.319E+00,  107.67,990
-105.421E+00,  106.38,1000
-105.540E+00,  104.95,1010
-105.540E+00,  104.95,1020
-105.602E+00,   99.44,1030
-105.602E+00,   99.44,1040
-105.645E+00,   93.91,1050
-105.645E+00,   93.91,1060
-105.603E+00,   87.73,1070
-105.528E+00,   84.46,1080
-105.528E+00,   84.46,1090
-105.428E+00,   84.44,1100
-105.428E+00,   84.44,1110
-105.360E+00,   85.92,1120
-105.305E+00,   91.96,1130
-105.305E+00,   91.96,1140
-105.238E+00,   98.77,1150
-105.238E+00,   98.77,1160
-105.219E+00,  107.31,1170
-105.259E+00,  109.50,1180
-105.259E+00,  109.50,1190
-105.306E+00,  113.38,1200
-105.306E+00,  113.38,1210
-105.339E+00,  111.34,1220
-105.339E+00,  111.34,1230
-105.383E+00,  105.85,1240
-105.414E+00,   98.53,1250
-105.414E+00,   98.53,1260
-105.401E+00,   93.13,1270
-105.401E+00,   93.13,1280
-105.328E+00,   89.86,1290
-105.328E+00,   89.86,1300
-105.303E+00,   88.09,1310
-105.303E+00,   88.09,1320
-105.280E+00,   90.22,1330
-105.280E+00,   90.88,1340
-105.280E+00,   90.88,1350
-105.273E+00,   95.85,1360
-105.273E+00,   95.85,1370
-105.277E+00,  101.08,1380
-105.277E+00,  101.08,1390
-105.360E+00,  106.09,1400
-105.464E+00,  110.47,1410
-105.464E+00,  110.47,1420
-105.537E+00,  111.50,1430
-105.537E+00,  111.50,1440
-105.637E+00,  107.72,1450
-105.766E+00,  100.05,1460
-105.766E+00,  100.05,1470
-105.828E+00,   91.07,1480
-105.828E+00,   91.07,1490
-105.850E+00,   82.81,1500
-105.850E+00,   82.81,1510
-105.825E+00,   78.19,1520
-105.772E+00,   74.50,1530
-105.772E+00,   74.50,1540
-105.713E+00,   76.15,1550
-105.713E+00,   76.15,1560
-105.644E+00,   80.40,1570
-105.633E+00,   87.01,1580
-105.633E+00,   87.01,1590
-105.679E+00,   94.95,1600
-105.679E+00,   94.95,1610
-105.734E+00,  105.99,1620
-105.734E+00,  105.99,1630
-105.820E+00,  117.59,1640
-105.820E+00,  117.59,1650
-105.880E+00,  129.69,1660
-105.978E+00,  136.14,1670
-105.978E+00,  136.14,1680
-106.140E+00,  131.25,1690
-106.140E+00,  131.25,1700
-106.292E+00,  126.35,1710
-106.418E+00,  112.23,1720
-106.418E+00,  112.23,1730
-106.530E+00,  100.68,1740
-106.530E+00,  100.68,1750
-106.551E+00,   89.34,1760
-106.551E+00,   89.34,1770
-106.559E+00,   80.78,1780
-106.500E+00,   74.10,1790
-106.500E+00,   74.10,1800
-106.393E+00,   70.53,1810
-106.393E+00,   70.53,1820
-106.317E+00,   67.79,1830
-106.182E+00,   67.46,1840
-106.182E+00,   67.46,1850
-106.012E+00,   69.31,1860
-106.012E+00,   69.31,1870
-105.871E+00,   72.13,1880
-105.871E+00,   72.13,1890
-105.751E+00,   78.30,1900
-105.659E+00,   83.56,1910
-105.659E+00,   83.56,1920
-105.608E+00,   90.45,1930
-105.608E+00,   90.45,1940
-105.582E+00,  102.33,1950
-105.642E+00,  114.38,1960
-105.642E+00,  114.38,1970
-105.727E+00,  126.73,1980
-105.727E+00,  126.73,1990
-105.835E+00,  135.68,2000
-105.835E+00,  135.68,2010
-105.979E+00,  139.95,2020
-105.979E+00,  139.95,2030
-106.096E+00,  138.00,2040
-106.186E+00,  132.21,2050
-106.186E+00,  132.21,2060
-106.312E+00,  116.00,2070
-106.312E+00,  116.00,2080
-106.366E+00,  103.40,2090
-106.373E+00,   92.63,2100
-106.373E+00,   92.63,2110
-106.363E+00,   83.53,2120
-106.363E+00,   83.53,2130
-106.323E+00,   74.95,2140
-106.323E+00,   74.95,2150
-106.241E+00,   70.09,2160
-106.140E+00,   67.69,2170
-106.140E+00,   67.69,2180
-106.031E+00,   67.53,2190
-106.031E+00,   67.53,2200
-105.919E+00,   69.41,2210
-105.846E+00,   73.16,2220
-105.846E+00,   73.16,2230
-105.749E+00,   78.64,2240
-105.749E+00,   78.64,2250
-105.687E+00,   86.35,2260
-105.687E+00,   86.35,2270
-105.714E+00,   97.26,2280
-105.714E+00,   97.26,2290
-105.757E+00,  108.55,2300
-105.815E+00,  123.80,2310
-105.815E+00,  123.80,2320
-105.922E+00,  133.08,2330
-105.922E+00,  133.08,2340
-106.025E+00,  136.32,2350
-106.170E+00,  131.67,2360
-106.170E+00,  131.67,2370
-106.296E+00,  122.57,2380
-106.296E+00,  122.57,2390
-106.368E+00,  111.79,2400
-106.368E+00,  111.79,2410
-106.416E+00,  101.07,2420
-106.406E+00,   93.51,2430
-106.406E+00,   93.51,2440
-106.338E+00,   88.10,2450
-106.250E+00,   85.98,2460
-106.250E+00,   85.98,2470
-106.168E+00,   85.99,2480
-106.168E+00,   85.99,2490
-106.092E+00,   89.46,2500
-106.092E+00,   89.46,2510
-106.062E+00,   96.19,2520
-106.062E+00,   96.19,2530
-106.034E+00,  101.63,2540
-106.011E+00,  102.81,2550
-106.011E+00,  102.81,2560
-106.023E+00,  103.38,2570
-106.041E+00,   99.18,2580
-106.041E+00,   99.18,2590
-106.041E+00,   99.18,2600
-106.077E+00,   97.33,2610
-106.112E+00,   93.35,2620
-106.112E+00,   93.35,2630
-106.107E+00,   87.28,2640
-106.107E+00,   87.28,2650
-106.081E+00,   84.42,2660
-106.081E+00,   84.42,2670
-106.002E+00,   82.08,2680
-105.939E+00,   81.61,2690
-105.939E+00,   81.61,2700
-105.886E+00,   82.21,2710
-105.886E+00,   82.21,2720
-105.886E+00,   86.46,2730
-105.876E+00,   90.90,2740
-105.876E+00,   90.90,2750
-105.899E+00,   96.49,2760
-105.899E+00,   96.49,2770
-105.942E+00,   97.95,2780
-105.942E+00,   97.95,2790
-105.992E+00,   97.36,2800
-106.034E+00,   96.61,2810
-106.034E+00,   96.61,2820
-106.010E+00,   91.83,2830
-106.010E+00,   91.83,2840
-105.990E+00,   85.69,2850
-105.990E+00,   85.69,2860
-105.953E+00,   79.06,2870
-105.844E+00,   74.29,2880
-105.844E+00,   74.29,2890
-105.730E+00,   72.63,2900
-105.730E+00,   72.63,2910
-105.623E+00,   70.66,2920
-105.492E+00,   73.78,2930
-105.492E+00,   73.78,2940
-105.416E+00,   79.66,2950
-105.416E+00,   79.66,2960
-105.384E+00,   87.06,2970
-105.426E+00,   96.34,2980
-105.426E+00,   96.34,2990
-105.539E+00,  104.57,3000
-105.539E+00,  104.57,3010
-105.663E+00,  108.53,3020
-105.663E+00,  108.53,3030
-105.720E+00,  105.25,3040
-105.720E+00,  105.25,3050
-105.765E+00,  103.22,3060
-105.751E+00,  100.65,3070
-105.751E+00,  100.65,3080
-105.720E+00,  102.40,3090
-105.720E+00,  102.40,3100
-105.723E+00,  101.22,3110
-105.723E+00,  101.22,3120
-105.720E+00,  100.92,3130
-105.705E+00,  101.56,3140
-105.705E+00,  101.56,3150
-105.720E+00,   98.61,3160
-105.727E+00,   97.16,3170
-105.727E+00,   97.16,3180
-105.694E+00,   95.62,3190
-105.694E+00,   95.62,3200
-105.697E+00,   95.61,3210
-105.697E+00,   95.61,3220
-105.723E+00,   95.36,3230
-105.723E+00,   95.36,3240
-105.747E+00,   91.90,3250
-105.751E+00,   88.83,3260
-105.751E+00,   88.83,3270
-105.715E+00,   86.27,3280
-105.715E+00,   86.27,3290
-105.689E+00,   84.24,3300
-105.684E+00,   83.81,3310
-105.684E+00,   83.81,3320
-105.679E+00,   85.07,3330
-105.679E+00,   85.07,3340
-105.670E+00,   85.54,3350
-105.685E+00,   88.07,3360
-105.685E+00,   88.07,3370
-105.714E+00,   90.38,3380
-105.714E+00,   90.38,3390
-105.712E+00,   91.71,3400
-105.704E+00,   92.17,3410
-105.704E+00,   92.17,3420
-105.722E+00,   90.46,3430
-105.722E+00,   90.46,3440
-105.744E+00,   89.83,3450
-105.744E+00,   89.83,3460
-105.694E+00,   85.64,3470
-105.694E+00,   85.64,3480
-105.638E+00,   83.03,3490
-105.519E+00,   83.29,3500
-105.519E+00,   83.29,3510
-105.423E+00,   85.99,3520
-105.368E+00,   90.13,3530
-105.368E+00,   90.13,3540
-105.368E+00,   90.13,3550
-105.355E+00,   97.63,3560
-105.430E+00,  106.20,3570
-105.430E+00,  106.20,3580
-105.528E+00,  113.55,3590
-105.528E+00,  113.55,3600
-105.633E+00,  118.25,3610
-105.784E+00,  117.31,3620
-105.784E+00,  117.31,3630
-105.914E+00,  117.22,3640
-105.914E+00,  117.22,3650
-106.007E+00,  109.40,3660
-106.007E+00,  109.40,3670
-106.075E+00,   97.01,3680
-106.075E+00,   97.01,3690
-106.101E+00,   87.70,3700
-106.060E+00,   80.72,3710
-106.060E+00,   80.72,3720
-105.967E+00,   74.78,3730
-105.967E+00,   74.78,3740
-105.822E+00,   72.20,3750
-105.713E+00,   71.78,3760
-105.713E+00,   71.78,3770
-105.601E+00,   74.23,3780
-105.601E+00,   74.23,3790
-105.488E+00,   77.90,3800
-105.488E+00,   77.90,3810
-105.453E+00,   84.01,3820
-105.436E+00,   91.87,3830
-105.436E+00,   91.87,3840
-105.455E+00,  104.28,3850
-105.455E+00,  104.28,3860
-105.520E+00,  120.19,3870
-105.623E+00,  128.96,3880
-105.623E+00,  128.96,3890
-105.729E+00,  134.91,3900
-105.729E+00,  134.91,3910
-105.875E+00,  128.75,3920
-105.956E+00,  122.99,3930
-105.956E+00,  122.99,3940
-105.998E+00,  110.25,3950
-105.998E+00,  110.25,3960
-106.014E+00,   98.84,3970
-105.970E+00,   87.29,3980
-105.970E+00,   87.29,3990
-105.970E+00,   87.29,4000
-105.885E+00,   81.44,4010
-105.811E+00,   76.72,4020
-105.811E+00,   76.72,4030
-105.712E+00,   73.95,4040
-105.639E+00,   76.21,4050
-105.639E+00,   76.21,4060
-105.639E+00,   76.21,4070
-105.583E+00,   80.34,4080
-105.521E+00,   86.85,4090
-105.521E+00,   86.85,4100
-105.513E+00,   95.58,4110
-105.573E+00,  106.43,4120
-105.573E+00,  106.43,4130
-105.637E+00,  116.28,4140
-105.637E+00,  116.28,4150
-105.755E+00,  121.95,4160
-105.755E+00,  121.95,4170
-105.883E+00,  124.05,4180
-105.883E+00,  124.05,4190
-106.000E+00,  122.71,4200
-106.099E+00,  110.27,4210
-106.099E+00,  110.27,4220
-106.151E+00,   97.01,4230
-106.151E+00,   97.01,4240
-106.164E+00,   87.44,4250
-106.152E+00,   78.47,4260
-106.152E+00,   78.47,4270
-106.104E+00,   72.81,4280
-106.104E+00,   72.81,4290
-106.032E+00,   68.99,4300
-106.032E+00,   68.99,4310
-105.927E+00,   68.77,4320
-105.812E+00,   71.90,4330
-105.812E+00,   71.90,4340
-105.728E+00,   75.52,4350
-105.728E+00,   75.52,4360
-105.659E+00,   80.30,4370
-105.659E+00,   80.30,4380
-105.623E+00,   88.48,4390
-105.644E+00,   98.36,4400
-105.644E+00,   98.36,4410
-105.703E+00,  104.83,4420
-105.703E+00,  104.83,4430
-105.772E+00,  110.80,4440
-105.772E+00,  110.80,4450
-105.833E+00,  106.22,4460
